player,position,club,championship
Wayne Hennessey,GK,Nott'ham Forest,
Weston McKennie,MF,Juventus,
William Carvalho,MF,Betis,
William Saliba,DF,Arsenal,
Wojciech Szczęsny,GK,Juventus,
Wout Weghorst,FW,Beşiktaş,
Wéverton,GK,Palmeiras,Brasileiro Serie A
Xavi Simons,FW,PSV Eindhoven,Eredivisie 
Xherdan Shaqiri,FW,Chicago Fire,
Yahya Attiat Allah,DF,Wydad Casablanca,
Yahya Jabrane,MF,Wydad Casablanca,
Yann Sommer,GK,M'Gladbach,
Yannick Carrasco,FW,Atlético Madrid,
Yasser Al-Shahrani,DF,Al-Hilal,
Yassine Bounou,GK,Sevilla,
Yassine Meriah,DF,Espérance de Tunis,
Yeltsin Tejeda,MF,Club Sport Herediano,
Youri Tielemans,MF,Leicester City,Premier League
Youssef En-Nesyri,FW,Sevilla,
Youssef Msakni,MF,Al-Arabi SC,
Youssouf Fofana,MF,Monaco,
Youssouf Sabaly,DF,Betis,
Youssoufa Moukoko,FW,Dortmund,
Youstin Salas,DF,Deportivo Saprissa,
Yuki Soma,FW,Grampus,
Yunus Musah,MF,Valencia,
